Date of Arrest (DoA),Year/Month,Charge 1,Charge 2,Charge 3,SEX,RACE,Age (on DoA),Primary Charge,Code,Age Group,Eth/Race
04/08/2016,2016-April,23152(a) VC,23152(b) VC,,M,Other,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
04/08/2016,2016-April,23152(e) VC,496(A) PC,,F,White,31,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
04/08/2016,2016-April,11377(A) HS,25400(a)(1) PC,25850(a) PC,M,White,47,Possession - controlled subst,Health & Safety,46-55,White
04/10/2016,2016-April,148.9(A) PC,488 PC,,M,Hispanic,31,Misrepresents to a PO,Penal Code - Public Justice,26-35,Hispanic
04/10/2016,2016-April,23152(a) VC,23152(b) VC,,M,Other,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
04/10/2016,2016-April,11364(a) HS,,,M,White,31,Drug paraphernalia,Health & Safety,26-35,White
04/11/2016,2016-April,11364(a) HS,,,M,White,34,Drug paraphernalia,Health & Safety,26-35,White
04/14/2016,2016-April,647(f) PC,,,M,Black,47,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,African-Amer
04/14/2016,2016-April,485 PC,,,M,White,31,Take lost property,Penal Code - Larceny,26-35,White
04/15/2016,2016-April,148(a)(1) PC,26.04.020 (a) CC,,M,Black,63,Resist Arrest,Penal Code - Public Justice,56-65,African-Amer
04/15/2016,2016-April,23152(a) VC,23152(b) VC,,M,Hispanic,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
04/15/2016,2016-April,25658(A) BP,,,M,Hispanic,23,Minor in Possession Alcohol,Business & Prof,18-25,Hispanic
04/15/2016,2016-April,25658(A) BP,12500(A) VC,,M,Hispanic,27,Minor in Possession Alcohol,Business & Prof,26-35,Hispanic
04/15/2016,2016-April,25658(A) BP,,,M,White,29,Minor in Possession Alcohol,Business & Prof,26-35,White
04/15/2016,2016-April,11377(A) HS,11364(a) HS,,M,White,34,Possession - controlled subst,Health & Safety,26-35,White
04/15/2016,2016-April,647(f) PC,,,M,White,38,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
04/16/2016,2016-April,23153(a) VC,23153(b) VC,,M,Hispanic,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
04/16/2016,2016-April,647(f) PC,,,M,Other,22,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Other
04/16/2016,2016-April,647(f) PC,,,M,Other,24,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Other
04/16/2016,2016-April,647(f) PC,,,M,Other,25,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Other
04/16/2016,2016-April,415(1) PC,647(f) PC,,M,White,26,Fighting,Penal Code - Disturbing the Peace,26-35,White
04/16/2016,2016-April,242 PC,,,M,White,53,Battery,Penal Code - Against person,46-55,White
04/17/2016,2016-April,23152(a) VC,23152(b) VC,14601.1(A) VC,M,Black,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,African-Amer
04/17/2016,2016-April,273.5(A) PC,,,M,Hispanic,24,Corporal Injury spouse/partner,Penal Code - Against person,18-25,Hispanic
04/17/2016,2016-April,148.9(A) PC,26.04.020 (a) CC,,M,Hispanic,32,Misrepresents to a PO,Penal Code - Public Justice,26-35,Hispanic
04/17/2016,2016-April,23152(a) VC,23152(b) VC,,M,White,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
04/17/2016,2016-April,11364(a) HS,11377(A) HS,,F,White,46,Drug paraphernalia,Health & Safety,46-55,White
04/17/2016,2016-April,647(f) PC,,,M,White,66,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,66+,White
04/19/2016,2016-April,626.6(A) PC,,,M,Black,19,School violations,Penal Code - Mal Misch & Disord Cond,18-25,African-Amer
04/19/2016,2016-April,626.6(A) PC,,,M,Other,19,School violations,Penal Code - Mal Misch & Disord Cond,18-25,Other
04/20/2016,2016-April,487(A) PC,,,M,White,37,Grand Theft,Penal Code - Larceny,36-45,White
04/20/2016,2016-April,647(f) PC,,,M,White,38,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
04/20/2016,2016-April,23152(a) VC,23152(b) VC,,F,White,56,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
04/21/2016,2016-April,11350(A) HS,23152(e) VC,,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
04/21/2016,2016-April,11350(A) HS,1203.2(a) PC,,M,White,60,Possession - controlled subst,Health & Safety,56-65,White
04/22/2016,2016-April,23152(a) VC,23152(b) VC,,F,Asian Indian,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
04/22/2016,2016-April,23152(a) VC,23152(b) VC,,M,White,33,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
04/22/2016,2016-April,647(f) PC,,,M,White,49,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
04/23/2016,2016-April,23152(a) VC,23152(b) VC,,M,Black,38,Drug or EtOH vehicle violtion,Vehicle Code,36-45,African-Amer
04/23/2016,2016-April,647(f) PC,,,F,White,23,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
04/23/2016,2016-April,459.5 PC,11350(A) HS,11550(A) HS,F,White,51,Burglary,Penal Code - Property Crimes,46-55,White
04/23/2016,2016-April,14601.1(A) VC,,,F,White,60,license violation,Vehicle Code,56-65,White
04/24/2016,2016-April,647(f) PC,,,F,Other,18,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Other
04/24/2016,2016-April,11364(a) HS,11377(A) HS,4060 BP,M,White,31,Drug paraphernalia,Health & Safety,26-35,White
04/25/2016,2016-April,245(A)(1) PC,,,M,White,20,Assault with a deadly weapon,Penal Code - Against person,18-25,White
04/27/2016,2016-April,11350(A) HS,,,M,White,21,Possession - controlled subst,Health & Safety,18-25,White
04/29/2016,2016-April,11364(a) HS,11377(A) HS,,M,Hispanic,21,Drug paraphernalia,Health & Safety,18-25,Hispanic
04/29/2016,2016-April,243(b) PC,148(a)(1) PC,,M,White,31,Battery on a PO,Penal Code - Against person,26-35,White
04/29/2016,2016-April,22210 PC,,,M,White,31,Illegal possession of a sap,Penal Code - Weapons,26-35,White
04/29/2016,2016-April,647(f) PC,,,M,White,38,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
04/30/2016,2016-April,647(f) PC,,,M,Other Asian,22,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Asian
04/30/2016,2016-April,23152(a) VC,23152(b) VC,,F,Hispanic,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
04/30/2016,2016-April,417(A)(1) PC,422 PC,,M,Hispanic,22,Display a weapon,Penal Code - Disturbing the Peace,18-25,Hispanic
04/30/2016,2016-April,286(G) PC,288A(G) PC,,M,White,59,Nonconsensual sex with a disabled person,Penal Code - Against person,56-65,White
05/01/2016,2016-May,11364(a) HS,647(h) PC,,M,Hispanic,37,Drug paraphernalia,Health & Safety,36-45,Hispanic
05/05/2016,2016-May,11364(a) HS,1203.2(a) PC,,M,Hispanic,29,Drug paraphernalia,Health & Safety,26-35,Hispanic
05/05/2016,2016-May,11377(A) HS,23152(e) VC,,F,White,23,Possession - controlled subst,Health & Safety,18-25,White
05/05/2016,2016-May,242 PC,,,M,White,28,Battery,Penal Code - Against person,26-35,White
05/05/2016,2016-May,11377(A) HS,O/W FEL,,M,White,33,Possession - controlled subst,Health & Safety,26-35,White
05/05/2016,2016-May,11364(a) HS,11377(A) HS,148(a)(1) PC,M,White,36,Drug paraphernalia,Health & Safety,36-45,White
05/05/2016,2016-May,647(f) PC,,,F,White,54,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
05/06/2016,2016-May,647(f) PC,,,M,Black,31,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
05/06/2016,2016-May,148(a)(1) PC,23152(a) VC,23152(b) VC,M,Other Asian,22,Resist Arrest,Penal Code - Public Justice,18-25,Asian
05/06/2016,2016-May,23152(a) VC,23152(b) VC,,M,Hispanic,36,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Hispanic
05/06/2016,2016-May,14601.1(A) VC,O/W MISD,,M,Hispanic,41,license violation,Vehicle Code,36-45,Hispanic
05/06/2016,2016-May,11364(a) HS,,,F,Hispanic,46,Drug paraphernalia,Health & Safety,46-55,Hispanic
05/06/2016,2016-May,23152(e) VC,,,M,Other,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
05/06/2016,2016-May,23103(A) VC,23152(a) VC,23152(b) VC,M,White,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
05/07/2016,2016-May,23152(a) VC,23152(b) VC,,M,Hispanic,33,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
05/07/2016,2016-May,243(e)(1) PC,,,F,Other,44,Battery on a spouse/partner,Penal Code - Against person,36-45,Other
05/07/2016,2016-May,23152(a) VC,23152(b) VC,,F,White,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
05/07/2016,2016-May,11550(A) HS,,,M,White,29,Under the Influence - Narcotics,Health & Safety,26-35,White
05/07/2016,2016-May,490.5(A) PC,,,F,White,32,Petty Theft,Penal Code - Larceny,26-35,White
05/07/2016,2016-May,211 PC,273A(A) PC,,M,White,35,Robbery,Penal Code - Against person,26-35,White
05/08/2016,2016-May,23152(a) VC,23152(b) VC,,M,Black,37,Drug or EtOH vehicle violtion,Vehicle Code,36-45,African-Amer
05/08/2016,2016-May,459.5 PC,,,M,Hispanic,29,Burglary,Penal Code - Property Crimes,26-35,Hispanic
05/10/2016,2016-May,594(b)(2)(A) PC,,,M,Hispanic,26,Vandalism,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
05/11/2016,2016-May,11364(a) HS,,,M,White,46,Drug paraphernalia,Health & Safety,46-55,White
05/11/2016,2016-May,26.04.020 (a) CC,,,M,White,52,,,46-55,White
05/11/2016,2016-May,485 PC,,,M,White,54,Take lost property,Penal Code - Larceny,46-55,White
05/12/2016,2016-May,O/W FEL,,,M,Black,58,,Penal Code,56-65,African-Amer
05/12/2016,2016-May,148(a)(1) PC,,,M,White,44,Resist Arrest,Penal Code - Public Justice,36-45,White
05/12/2016,2016-May,23152(a) VC,23152(b) VC,,M,White,46,Drug or EtOH vehicle violtion,Vehicle Code,46-55,White
05/13/2016,2016-May,11350(A) HS,14601.1(A) VC,148(a)(1) PC,F,Black,26,Possession - controlled subst,Health & Safety,26-35,African-Amer
05/13/2016,2016-May,23152(a) VC,23152(b) VC,,M,Other Asian,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
05/13/2016,2016-May,11364(a) HS,11350(A) HS,,F,Other,26,Drug paraphernalia,Health & Safety,26-35,Other
05/14/2016,2016-May,23152(e) VC,,,F,White,66,Drug or EtOH vehicle violtion,Vehicle Code,66+,White
05/15/2016,2016-May,148.9(A) PC,,,M,Black,59,Misrepresents to a PO,Penal Code - Public Justice,56-65,African-Amer
05/15/2016,2016-May,11377(A) HS,,,M,White,21,Possession - controlled subst,Health & Safety,18-25,White
05/15/2016,2016-May,236 PC,273.5(A) PC,422 PC,M,White,21,False Imprisonment,Penal Code - Against person,18-25,White
05/15/2016,2016-May,273.5(A) PC,,,M,White,28,Corporal Injury spouse/partner,Penal Code - Against person,26-35,White
05/15/2016,2016-May,23152(a) VC,23152(b) VC,,M,White,57,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
05/16/2016,2016-May,11364(a) HS,,,M,Hispanic,46,Drug paraphernalia,Health & Safety,46-55,Hispanic
05/16/2016,2016-May,23152(e) VC,,,F,White,65,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
05/17/2016,2016-May,11364(a) HS,148(a)(1) PC,,M,White,21,Drug paraphernalia,Health & Safety,18-25,White
05/17/2016,2016-May,422 PC,69 PC,,M,White,40,Criminal Threats,Penal Code - Threats,36-45,White
05/18/2016,2016-May,273.6(A) PC,,,M,Other,48,Violation of Protective Order,Penal Code - Against person,46-55,Other
05/18/2016,2016-May,21310 PC,,,M,White,31,Illegal possession of a dirk/dagger,Penal Code - Weapons,26-35,White
05/18/2016,2016-May,647(f) PC,148.9(A) PC,,M,White,33,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
05/19/2016,2016-May,422 PC,242 PC,,F,Hispanic,40,Criminal Threats,Penal Code - Threats,36-45,Hispanic
05/20/2016,2016-May,11364(a) HS,,,F,Hispanic,20,Drug paraphernalia,Health & Safety,18-25,Hispanic
05/20/2016,2016-May,20002(A)(1) VC,,,M,Other,25,Hit and Run,Vehicle Code,18-25,Other
05/20/2016,2016-May,23152(a) VC,23152(b) VC,,M,Other,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
05/20/2016,2016-May,11350(A) HS,,,M,Other,32,Possession - controlled subst,Health & Safety,26-35,Other
05/20/2016,2016-May,647(f) PC,,,F,White,38,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
05/22/2016,2016-May,182(A)(1) PC,459.5 PC,,F,White,20,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,White
05/22/2016,2016-May,23152(a) VC,23152(b) VC,,M,White,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
05/22/2016,2016-May,182(A)(1) PC,459.5 PC,,F,White,39,Conspiracy to commit a crime,Penal Code - Public Justice,36-45,White
05/22/2016,2016-May,11364(a) HS,11357(B) HS,,M,White,54,Drug paraphernalia,Health & Safety,46-55,White
05/25/2016,2016-May,11377(A) HS,22810 PC,,N,Hispanic,30,Possession - controlled subst,Health & Safety,26-35,Hispanic
05/25/2016,2016-May,647(f) PC,26.04.020 (a) CC,,M,White,52,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
05/26/2016,2016-May,647(f) PC,,,F,White,54,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
05/27/2016,2016-May,11377(A) HS,,,M,Other,23,Possession - controlled subst,Health & Safety,18-25,Other
05/27/2016,2016-May,25658(A) BP,,,M,Other,26,Minor in Possession Alcohol,Business & Prof,26-35,Other
05/27/2016,2016-May,496(A) PC,,,M,White,22,Receives Stolen Property,Penal Code - Larceny,18-25,White
05/27/2016,2016-May,11370.1(A) HS,11377(A) HS,25850(c)(4) PC,M,White,30,Possession of drugs with firearm,Health & Safety,26-35,White
05/27/2016,2016-May,11550(A) HS,11364(a) HS,,M,White,30,Under the Influence - Narcotics,Health & Safety,26-35,White
05/27/2016,2016-May,647(f) PC,,,F,White,38,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
05/27/2016,2016-May,23152(a) VC,23152(b) VC,,M,White,52,Drug or EtOH vehicle violtion,Vehicle Code,46-55,White
05/28/2016,2016-May,23152(a) VC,23152(b) VC,23136(a) VC,M,Other Asian,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
05/28/2016,2016-May,23152(a) VC,23152(b) VC,,F,Hispanic,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
05/28/2016,2016-May,23152(a) VC,23152(b) VC,,M,Hispanic,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
05/28/2016,2016-May,647(f) PC,,,F,White,27,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
05/28/2016,2016-May,11377(A) HS,O/W MISD,,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
05/28/2016,2016-May,166(A)(4) PC,,,M,White,32,Violation of a Court Order,Penal Code - Public Justice,26-35,White
05/28/2016,2016-May,11364(a) HS,,,M,White,33,Drug paraphernalia,Health & Safety,26-35,White
05/29/2016,2016-May,23152(a) VC,23152(b) VC,,M,White,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
05/30/2016,2016-May,23152(a) VC,23152(b) VC,,M,Asian Indian,39,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Asian
05/30/2016,2016-May,11364(a) HS,647(h) PC,,M,Hispanic,25,Drug paraphernalia,Health & Safety,18-25,Hispanic
05/30/2016,2016-May,11364(a) HS,,,F,White,28,Drug paraphernalia,Health & Safety,26-35,White
05/30/2016,2016-May,211 PC,,,M,White,28,Robbery,Penal Code - Against person,26-35,White
05/30/2016,2016-May,459 PC,470(A) PC,476A(A) PC,F,White,55,Burglary,Penal Code - Property Crimes,46-55,White
06/01/2016,2016-June,11377(A) HS,,,F,Hispanic,19,Possession - controlled subst,Health & Safety,18-25,Hispanic
06/01/2016,2016-June,537E(A)(2) PC,496(A) PC,,M,Other,31,Stolen Property,Penal Code - Property Crimes,26-35,Other
06/01/2016,2016-June,496(A) PC,,,M,White,31,Receives Stolen Property,Penal Code - Larceny,26-35,White
06/02/2016,2016-June,148(a)(1) PC,O/W MISD,,M,White,30,Resist Arrest,Penal Code - Public Justice,26-35,White
06/02/2016,2016-June,11377(A) HS,,,M,White,49,Possession - controlled subst,Health & Safety,46-55,White
06/03/2016,2016-June,496(A) PC,,,M,White,30,Receives Stolen Property,Penal Code - Larceny,26-35,White
06/03/2016,2016-June,243(e)(1) PC,O/W MISD,,M,White,37,Battery on a spouse/partner,Penal Code - Against person,36-45,White
06/03/2016,2016-June,647(f) PC,,,M,White,52,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
06/04/2016,2016-June,11364(a) HS,11357(B) HS,,M,Black,54,Drug paraphernalia,Health & Safety,46-55,African-Amer
06/04/2016,2016-June,11377(A) HS,11364(a) HS,,F,White,23,Possession - controlled subst,Health & Safety,18-25,White
06/04/2016,2016-June,11377(A) HS,1203.2(a) PC,,M,White,23,Possession - controlled subst,Health & Safety,18-25,White
06/04/2016,2016-June,415(1) PC,1203.2(a) PC,,M,White,36,Fighting,Penal Code - Disturbing the Peace,36-45,White
06/04/2016,2016-June,647(f) PC,,,M,White,54,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
06/05/2016,2016-June,647(f) PC,,,M,Black,63,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,56-65,African-Amer
06/05/2016,2016-June,417(A)(1) PC,594(b)(2)(A) PC,664/488 PC,M,Hispanic,26,Display a weapon,Penal Code - Disturbing the Peace,26-35,Hispanic
06/05/2016,2016-June,11364(a) HS,1203.2(a) PC,,M,White,36,Drug paraphernalia,Health & Safety,36-45,White
06/05/2016,2016-June,496(A) PC,,,M,White,37,Receives Stolen Property,Penal Code - Larceny,36-45,White
06/06/2016,2016-June,23152(a) VC,23152(b) VC,,M,Hispanic,28,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
06/07/2016,2016-June,460(B) PC,470(D) PC,,M,Black,57,Burglary,Penal Code - Property Crimes,56-65,African-Amer
06/07/2016,2016-June,23152(a) VC,23152(b) VC,,M,Hispanic,51,Drug or EtOH vehicle violtion,Vehicle Code,46-55,Hispanic
06/07/2016,2016-June,11364(a) HS,,,M,White,37,Drug paraphernalia,Health & Safety,36-45,White
06/09/2016,2016-June,647(f) PC,,,M,Black,28,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
06/09/2016,2016-June,11364(a) HS,21310 PC,,M,Black,37,Drug paraphernalia,Health & Safety,36-45,African-Amer
06/09/2016,2016-June,11364(a) HS,,,M,Black,54,Drug paraphernalia,Health & Safety,46-55,African-Amer
06/09/2016,2016-June,11377(A) HS,23152(e) VC,11364(a) HS,M,Other,31,Possession - controlled subst,Health & Safety,26-35,Other
06/09/2016,2016-June,496(A) PC,,,M,Other,31,Receives Stolen Property,Penal Code - Larceny,26-35,Other
06/10/2016,2016-June,23152(a) VC,23152(b) VC,,F,Other Asian,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
06/10/2016,2016-June,11364(a) HS,11377(A) HS,148.9(A) PC,M,White,32,Drug paraphernalia,Health & Safety,26-35,White
06/13/2016,2016-June,594(b)(3) PC,488 PC,,M,White,20,Vandalism,Penal Code - Mal Misch & Disord Cond,18-25,White
06/14/2016,2016-June,647(f) PC,,,M,White,38,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
06/14/2016,2016-June,148(a)(1) PC,602.1(A) PC,,M,White,46,Resist Arrest,Penal Code - Public Justice,46-55,White
06/15/2016,2016-June,11364(a) HS,,,M,Hispanic,29,Drug paraphernalia,Health & Safety,26-35,Hispanic
06/15/2016,2016-June,11357(B) HS,11364(a) HS,11377(A) HS,M,Hispanic,31,Possession - Cannabis,Health & Safety,26-35,Hispanic
06/15/2016,2016-June,243(b) PC,148(a)(1) PC,,F,White,22,Battery on a PO,Penal Code - Against person,18-25,White
06/15/2016,2016-June,594(b)(2)(A) PC,,,M,White,22,Vandalism,Penal Code - Mal Misch & Disord Cond,18-25,White
06/15/2016,2016-June,148(a)(1) PC,594(b)(2)(A) PC,,M,White,43,Resist Arrest,Penal Code - Public Justice,36-45,White
06/16/2016,2016-June,243(d) PC,,,M,Black,41,Battery on a person,Penal Code - Against person,36-45,African-Amer
06/16/2016,2016-June,23152(a) VC,20002(A)(1) VC,23152(b) VC,M,Hispanic,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
06/17/2016,2016-June,23152(a) VC,23152(b) VC,,M,Hispanic,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
06/17/2016,2016-June,488 PC,503 PC,,M,White,59,Petty Theft,Penal Code - Larceny,56-65,White
06/18/2016,2016-June,647(f) PC,,,M,Black,30,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
06/18/2016,2016-June,11364(a) HS,647(f) PC,,M,Black,54,Drug paraphernalia,Health & Safety,46-55,African-Amer
06/19/2016,2016-June,23152(a) VC,23152(b) VC,,M,White,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
06/20/2016,2016-June,11364(a) HS,,,M,Hispanic,39,Drug paraphernalia,Health & Safety,36-45,Hispanic
06/20/2016,2016-June,459 PC,,,M,White,22,Burglary,Penal Code - Property Crimes,18-25,White
06/21/2016,2016-June,243(e)(1) PC,,,M,White,65,Battery on a spouse/partner,Penal Code - Against person,56-65,White
06/22/2016,2016-June,11350(A) HS,,,M,White,21,Possession - controlled subst,Health & Safety,18-25,White
06/22/2016,2016-June,459 PC,368(d) PC,,M,White,21,Burglary,Penal Code - Property Crimes,18-25,White
06/23/2016,2016-June,459 PC,,,M,White,18,Burglary,Penal Code - Property Crimes,18-25,White
06/23/2016,2016-June,647(f) PC,,,M,White,28,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
06/23/2016,2016-June,30305(a)(1) PC,,,M,White,54,Poss Firearm by Prohibited Person,Penal Code - Weapons,46-55,White
06/24/2016,2016-June,647(f) PC,,,M,Black,36,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,African-Amer
06/24/2016,2016-June,11364(a) HS,,,F,Hispanic,35,Drug paraphernalia,Health & Safety,26-35,Hispanic
06/24/2016,2016-June,490.5(A) PC,,,M,White,33,Petty Theft,Penal Code - Larceny,26-35,White
06/25/2016,2016-June,11550(A) HS,148.9(A) PC,,F,Hispanic,33,Under the Influence - Narcotics,Health & Safety,26-35,Hispanic
06/25/2016,2016-June,496(A) PC,459 PC,466 PC,M,White,32,Receives Stolen Property,Penal Code - Larceny,26-35,White
06/28/2016,2016-June,10851(A) VC,182(A)(1) PC,,M,Hispanic,20,car theft or tampering,Vehicle Code,18-25,Hispanic
06/28/2016,2016-June,10851(A) VC,182(A)(1) PC,,M,White,21,car theft or tampering,Vehicle Code,18-25,White
06/28/2016,2016-June,242 PC,,,M,White,32,Battery,Penal Code - Against person,26-35,White
06/28/2016,2016-June,243(d) PC,242 PC,,M,White,32,Battery on a person,Penal Code - Against person,26-35,White
06/28/2016,2016-June,148(a)(1) PC,647(f) PC,26.04.050 CC,M,White,50,Resist Arrest,Penal Code - Public Justice,46-55,White
06/28/2016,2016-June,242 PC,417(A)(1) PC,,M,White,52,Battery,Penal Code - Against person,46-55,White
06/29/2016,2016-June,647(f) PC,,,M,Other,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Other
06/30/2016,2016-June,148(a)(1) PC,182(A)(1) PC,487(A) PC,M,Black,39,Resist Arrest,Penal Code - Public Justice,36-45,African-Amer
06/30/2016,2016-June,23152(a) VC,23152(b) VC,,F,Other Asian,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
06/30/2016,2016-June,11364(a) HS,,,M,Hispanic,29,Drug paraphernalia,Health & Safety,26-35,Hispanic
06/30/2016,2016-June,273.5(A) PC,,,M,Hispanic,29,Corporal Injury spouse/partner,Penal Code - Against person,26-35,Hispanic
06/30/2016,2016-June,459.5 PC,,,M,White,18,Burglary,Penal Code - Property Crimes,18-25,White
06/30/2016,2016-June,243(e)(1) PC,,,F,White,24,Battery on a spouse/partner,Penal Code - Against person,18-25,White
07/01/2016,2016-July,25400(c)(6) PC,25850(c)(6) PC,,M,Hispanic,19,Concealed firearm,Penal Code,18-25,Hispanic
07/01/2016,2016-July,11364(a) HS,11377(A) HS,,F,Hispanic,32,Drug paraphernalia,Health & Safety,26-35,Hispanic
07/02/2016,2016-July,11360(A) HS,,,M,White,42,Sale of Cannabis,Health & Safety,36-45,White
07/03/2016,2016-July,647(f) PC,,,M,White,28,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
07/04/2016,2016-July,236 PC,,,M,Other,24,False Imprisonment,Penal Code - Against person,18-25,Other
07/05/2016,2016-July,23152(e) VC,11375(b)(2) HS,,M,White,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
07/05/2016,2016-July,647(h) PC,,,F,White,27,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,26-35,White
07/06/2016,2016-July,647(b) PC,11377(A) HS,,F,Black,26,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
07/06/2016,2016-July,11350(A) HS,,,F,Hispanic,18,Possession - controlled subst,Health & Safety,18-25,Hispanic
07/06/2016,2016-July,647(b) PC,,,F,White,18,Disorderly Conduct - Lewd/Prostitution,Penal Code - Mal Misch & Disord Cond,18-25,White
07/06/2016,2016-July,653.22(A) PC,148.9(A) PC,529(a)(3) PC,F,White,20,Loitering - Prostitution,Penal Code - Miscellaneous,18-25,White
07/06/2016,2016-July,647(i) PC,,,M,White,30,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,26-35,White
07/06/2016,2016-July,459.5 PC,666 PC,,M,White,52,Burglary,Penal Code - Property Crimes,46-55,White
07/07/2016,2016-July,647(f) PC,,,F,White,54,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
07/07/2016,2016-July,11350(A) HS,485 PC,,M,White,61,Possession - controlled subst,Health & Safety,56-65,White
07/08/2016,2016-July,11377(A) HS,11357(B) HS,,M,White,46,Possession - controlled subst,Health & Safety,46-55,White
07/09/2016,2016-July,23152(a) VC,,,M,Black,50,Drug or EtOH vehicle violtion,Vehicle Code,46-55,African-Amer
07/09/2016,2016-July,11364(a) HS,1203.2(a) PC,,M,White,48,Drug paraphernalia,Health & Safety,46-55,White
07/09/2016,2016-July,11377(A) HS,,,M,White,57,Possession - controlled subst,Health & Safety,56-65,White
